Timestamp;Relay;RedLab [V];Current [mA];Bus [V];Status;SN;Kanal;SupplyErrors;SignalErrors
ConfigSnapshot:;{'test_duration': 1000.0, 'redlab_pos_threshold': (2.0, 4.0), 'redlab_neg_threshold': (-5.0, -2.0), 'presence_current_threshold': (1.3, 1.6), 'supply_voltage_threshold': (4.2, 5.5), 'sensor_channels': [0, 1, 2, 3, 4, 5, 6, 7], 'i2c': {'retries': 3, 'delay': 0.1}, 'ina219': {'calibration': '16V_400mA', 'retries': 3, 'retry_delay': 0.1}, 'redlab': {'reconnect_retries': 3, 'reconnect_delay': 0.5}, 'led': {'pin': 18, 'channel': 0, 'count': 8, 'freq_hz': 800000, 'dma': 10, 'brightness': 255, 'invert': False}, 'relais_pins': [5, 6, 13, 19, 26, 16, 20, 21], 'archive_path': './archive', 'update_interval': 1000}
2025-07-29T14:06:24.476518;ON;1.46;0.00;5.02;FEHLER;;8;0;8
2025-07-29T14:06:25.572514;ON;1.43;0.00;5.02;FEHLER;;8;0;9
2025-07-29T14:06:26.905591;ON;1.41;0.00;5.02;FEHLER;;8;0;10
2025-07-29T14:06:27.965346;ON;1.40;0.00;5.02;FEHLER;;8;0;11
2025-07-29T14:06:29.029300;ON;1.40;0.00;5.02;FEHLER;;8;0;12
2025-07-29T14:06:30.094749;ON;1.43;0.10;5.02;FEHLER;;8;0;13
2025-07-29T14:06:31.164034;ON;1.44;0.10;5.02;FEHLER;;8;0;14
2025-07-29T14:06:32.220595;ON;1.44;0.10;5.02;FEHLER;;8;0;15
2025-07-29T14:06:33.286587;ON;1.40;0.00;5.02;FEHLER;;8;0;16
2025-07-29T14:06:34.353138;ON;1.40;0.00;5.02;FEHLER;;8;0;17
2025-07-29T14:06:35.416657;ON;1.47;0.00;5.02;FEHLER;;8;0;18
2025-07-29T14:06:36.485869;ON;1.44;0.00;5.02;FEHLER;;8;0;19
2025-07-29T14:06:37.543928;ON;1.40;0.00;5.02;FEHLER;;8;0;20
2025-07-29T14:06:38.601705;ON;1.41;0.00;5.02;FEHLER;;8;0;21
2025-07-29T14:06:39.661619;ON;1.42;0.00;5.02;FEHLER;;8;0;22
2025-07-29T14:06:40.719294;ON;1.44;0.10;5.02;FEHLER;;8;0;23
2025-07-29T14:06:41.780451;ON;1.44;0.00;5.02;FEHLER;;8;0;24
2025-07-29T14:06:42.845662;ON;1.41;0.00;5.02;FEHLER;;8;0;25
2025-07-29T14:06:43.908356;ON;1.41;0.00;5.02;FEHLER;;8;0;26
2025-07-29T14:06:44.977011;ON;1.47;0.00;5.02;FEHLER;;8;0;27
2025-07-29T14:06:46.040343;ON;1.45;0.10;5.02;FEHLER;;8;0;28
2025-07-29T14:06:47.107760;ON;1.40;0.00;5.02;FEHLER;;8;0;29
2025-07-29T14:06:48.168306;ON;1.40;0.00;5.02;FEHLER;;8;0;30
2025-07-29T14:06:49.228391;ON;1.41;0.10;5.02;FEHLER;;8;0;31
2025-07-29T14:06:50.287971;ON;1.41;0.00;5.02;FEHLER;;8;0;32
2025-07-29T14:06:51.350191;ON;1.43;0.10;5.02;FEHLER;;8;0;33
2025-07-29T14:06:52.413750;ON;1.47;0.00;5.02;FEHLER;;8;0;34
2025-07-29T14:06:53.477545;ON;1.46;0.00;5.02;FEHLER;;8;0;35
2025-07-29T14:06:54.538529;ON;1.43;0.00;5.02;FEHLER;;8;0;36
2025-07-29T14:06:55.606085;ON;1.40;0.00;5.02;FEHLER;;8;0;37
2025-07-29T14:06:56.670909;ON;1.43;0.10;5.02;FEHLER;;8;0;38
2025-07-29T14:06:57.736818;ON;1.46;0.00;5.02;FEHLER;;8;0;39
2025-07-29T14:06:59.043869;ON;1.46;0.00;5.02;FEHLER;;8;0;40
2025-07-29T14:07:00.549656;ON;1.47;0.00;5.02;FEHLER;;8;0;41
2025-07-29T14:07:01.965660;ON;1.40;0.00;5.02;FEHLER;;8;0;42
2025-07-29T14:07:03.309531;ON;1.47;0.00;5.02;FEHLER;;8;0;43
2025-07-29T14:07:04.533422;ON;1.46;0.00;5.02;FEHLER;;8;0;44
2025-07-29T14:07:05.597658;ON;1.40;0.10;5.02;FEHLER;;8;0;45
2025-07-29T14:07:06.666409;ON;1.44;0.00;5.02;FEHLER;;8;0;46
