Timestamp;Relay;RedLab [V];Current [mA];Bus [V];Status;SN;Kanal;SupplyErrors;SignalErrors
ConfigSnapshot:;{'test_duration': 1000.0, 'redlab_pos_threshold': (2.0, 4.0), 'redlab_neg_threshold': (-5.0, -2.0), 'presence_current_threshold': (1.3, 1.6), 'supply_voltage_threshold': (4.2, 5.5), 'sensor_channels': [0, 1, 2, 3, 4, 5, 6, 7], 'i2c': {'retries': 3, 'delay': 0.1}, 'ina219': {'calibration': '16V_400mA', 'retries': 3, 'retry_delay': 0.1}, 'redlab': {'reconnect_retries': 3, 'reconnect_delay': 0.5}, 'led': {'pin': 18, 'channel': 0, 'count': 8, 'freq_hz': 800000, 'dma': 10, 'brightness': 255, 'invert': False}, 'relais_pins': [5, 6, 13, 19, 26, 16, 20, 21], 'archive_path': './archive', 'update_interval': 1000}
2025-07-29T14:06:24.476518;ON;-3.41;161.50;4.98;FEHLER;;1;0;1
2025-07-29T14:06:25.572514;ON;-3.41;161.60;4.98;FEHLER;;1;0;2
2025-07-29T14:06:26.905591;ON;-3.41;161.60;4.98;FEHLER;;1;0;3
2025-07-29T14:06:27.965346;ON;-3.41;161.60;4.98;FEHLER;;1;0;4
2025-07-29T14:06:29.029300;ON;-3.41;161.60;4.98;FEHLER;;1;0;5
2025-07-29T14:06:30.094749;ON;-3.41;161.60;4.98;FEHLER;;1;0;6
2025-07-29T14:06:31.164034;ON;-3.41;161.60;4.98;FEHLER;;1;0;7
2025-07-29T14:06:32.220595;ON;-3.42;161.60;4.98;FEHLER;;1;0;8
2025-07-29T14:06:33.286587;ON;-3.41;161.60;4.98;FEHLER;;1;0;9
2025-07-29T14:06:34.353138;ON;-3.41;161.60;4.98;FEHLER;;1;0;10
2025-07-29T14:06:35.416657;ON;-3.41;161.50;4.98;FEHLER;;1;0;11
2025-07-29T14:06:36.485869;ON;-3.41;159.70;4.98;FEHLER;;1;0;12
2025-07-29T14:06:37.543928;ON;-3.41;160.40;4.98;FEHLER;;1;0;13
2025-07-29T14:06:38.601705;ON;-3.41;160.30;4.98;FEHLER;;1;0;14
2025-07-29T14:06:39.661619;ON;-3.41;160.40;4.98;FEHLER;;1;0;15
2025-07-29T14:06:40.719294;ON;-3.41;160.40;4.98;FEHLER;;1;0;16
2025-07-29T14:06:41.780451;ON;-3.41;160.30;4.98;FEHLER;;1;0;17
2025-07-29T14:06:42.845662;ON;-3.41;160.30;4.98;FEHLER;;1;0;18
2025-07-29T14:06:43.908356;ON;-3.41;160.20;4.98;FEHLER;;1;0;19
2025-07-29T14:06:44.977011;ON;-3.41;154.60;4.98;FEHLER;;1;0;20
2025-07-29T14:06:46.040343;ON;-3.41;155.20;4.98;FEHLER;;1;0;21
2025-07-29T14:06:47.107760;ON;-3.41;157.20;4.98;FEHLER;;1;0;22
2025-07-29T14:06:48.168306;ON;3.61;30.60;5.00;OK;;1;0;22
2025-07-29T14:06:49.228391;ON;3.68;10.10;5.00;OK;;1;0;22
2025-07-29T14:06:50.287971;ON;3.68;9.20;5.00;OK;;1;0;22
2025-07-29T14:06:51.350191;ON;3.68;8.80;5.00;OK;;1;0;22
2025-07-29T14:06:52.413750;ON;3.68;9.20;5.00;OK;;1;0;22
2025-07-29T14:06:53.477545;ON;3.68;9.30;5.00;OK;;1;0;22
2025-07-29T14:06:54.538529;ON;3.68;9.30;5.00;OK;;1;0;22
2025-07-29T14:06:55.606085;ON;3.68;8.80;5.00;OK;;1;0;22
2025-07-29T14:06:56.670909;ON;3.67;9.30;5.00;OK;;1;0;22
2025-07-29T14:06:57.736818;ON;3.67;9.40;5.00;OK;;1;0;22
2025-07-29T14:06:59.043869;ON;3.67;9.30;5.00;OK;;1;0;22
2025-07-29T14:07:00.549656;ON;3.68;10.00;5.00;OK;;1;0;22
2025-07-29T14:07:01.965660;ON;3.67;8.50;5.00;OK;;1;0;22
2025-07-29T14:07:03.309531;ON;3.67;9.30;5.00;OK;;1;0;22
2025-07-29T14:07:04.533422;ON;3.67;9.80;5.00;OK;;1;0;22
2025-07-29T14:07:05.597658;ON;3.68;9.50;5.00;OK;;1;0;22
2025-07-29T14:07:06.666409;ON;3.68;9.00;5.00;OK;;1;0;22
